date,grade,index,fired,gate_reason,n_articles,ci_lo,ci_hi,fed_axes,grade_final,index_final,fed_axes_final,finalized_at
2026-02-10,⚪ 중립,0.3093,,,,,,,,,,
2026-03-18,⚠️ 주의,-0.6843,tone_shift,,,,,statement;presser;minutes,⚠️ 주의,-0.6843,statement;presser;minutes,2026-08-29T11:07:45+00:00
2026-04-29,🟢 정합,-0.5907,,,,,,statement;presser;minutes,🟢 정합,-0.5907,statement;presser;minutes,2026-08-29T11:08:20+00:00
2026-07-29,🔴 경고,0.3971,divergence;tone_vs_vix,,,,,,🟢 정합,-0.0776,statement;presser;minutes,2026-08-29T11:08:55+00:00
2026-08-11,🟢 정합,-0.8309,,,,,,,,,,
2026-08-12,⚪ 중립,-0.1337,,,,,,,,,,
2026-08-13,⚠️ 주의,0.838,tone_shift,,,,,,,,,
2026-08-14,⚪ 중립,0.753,,,,,,,,,,
2026-08-15,⚪ 중립,1.6237,,,,,,,,,,
2026-08-16,⚠️ 주의,0.2818,tone_shift,,,,,,,,,
2026-08-17,⚠️ 주의,-1.1351,tone_shift,,,,,,,,,
2026-08-18,⚠️ 주의,-0.1765,tone_shift,,,,,,,,,
2026-08-19,⚪ 중립,-0.1012,,,,,,,,,,
2026-08-20,🔴 경고,0.9225,tone_shift;divergence;tone_vs_vix,,,,,,,,,
2026-08-21,🟢 정합,0.9726,,,,,,,,,,
2026-08-22,⚪ 중립,0.5984,,,,,,,,,,
2026-08-23,⚪ 중립,-0.0391,,,,,,,,,,
2026-08-24,⚠️ 주의,1.3515,tone_shift,,,,,,,,,
2026-08-25,⚠️ 주의,0.2958,tone_shift,,30,-0.1927181318908507,0.23136363649399067,,,,,
2026-08-26,⚪ 중립,0.53,,,37,-0.11502431317538449,0.23395469058923954,,,,,
2026-08-28,⚪ 중립,-0.1088,,,54,-0.16764703168759937,0.10996026086946535,,,,,
2026-08-29,⚪ 중립,0.5658,,,112,-0.05565607090574275,0.17555179826442727,,,,,
2026-08-31,⚠️ 주의,-0.625,tone_shift,,42,-0.24786138870046737,0.1816529102162922,,,,,
2026-09-01,⚠️ 주의,-1.9027,tone_shift,,21,-0.4730000434045824,0.08898768761928483,,,,,
2026-09-02,⚪ 관망,2.929,tone_shift,기사 9건(<15) — 관망(신뢰도 부족),9,0.10836820335767938,0.7477418092860523,,,,,
2026-09-03,⚠️ 주의,1.4669,tone_shift,,19,-0.0006584974601792613,0.4890246399455966,,,,,
2026-09-04,⚪ 중립,1.647,,,22,-0.030736858260932958,0.5355965292672984,,,,,
2026-09-05,⚪ 관망,-1.0989,tone_shift,기사 9건(<15) — 관망(신뢰도 부족),9,-0.5171310299343006,0.44491405271069384,,,,,
2026-09-06,⚪ 관망,1.8392,tone_shift,기사 3건(<15) — 관망(신뢰도 부족),3,-0.09276196919381618,0.9523138212971389,,,,,
2026-09-07,⚪ 관망,3.0457,tone_shift,기사 10건(<15) — 관망(신뢰도 부족),10,0.23056100712439137,0.8133457906016693,,,,,
2026-09-08,⚪ 관망,0.0528,tone_shift,기사 8건(<15) — 관망(신뢰도 부족),8,-0.5627291522115104,0.5263556966725871,,,,,
2026-09-09,⚪ 중립,0.6705,,,16,-0.16151241946710312,0.3452223488944473,,,,,
2026-09-10,⚠️ 주의,-0.5998,tone_shift,,35,-0.3601766606774368,0.06642821974225456,,,,,
2026-09-11,⚠️ 주의,0.7695,tone_shift,,38,0.016311809101394188,0.4663727350043618,,,,,
